Actor; Action; PAPI_TOT_INS; PAPI_L1_DCM
"Source";"getFileSize";"2987";"121"
"Source";"readNBytes";"1506";"197"
"Source";"readNBytes";"446";"55"
"Source";"readNBytes";"446";"33"
"Source";"readNBytes";"446";"41"
"Source";"readNBytes";"446";"69"
"Source";"readNBytes";"446";"39"
"Source";"readNBytes";"446";"39"
"Source";"readNBytes";"446";"47"
"Source";"readNBytes";"446";"51"
"Source";"readNBytes";"446";"51"
"Source";"readNBytes";"446";"51"
"Source";"readNBytes";"446";"44"
"Source";"readNBytes";"446";"74"
"Source";"readNBytes";"446";"43"
"Source";"readNBytes";"446";"51"
"Source";"readNBytes";"446";"49"
"Source";"readNBytes";"446";"39"
"Source";"readNBytes";"446";"46"
"Source";"readNBytes";"446";"49"
"Source";"readNBytes";"446";"51"
"Source";"readNBytes";"446";"43"
"Source";"readNBytes";"446";"47"
"Source";"readNBytes";"446";"44"
"Source";"readNBytes";"446";"38"
"Source";"readNBytes";"446";"41"
"Source";"readNBytes";"446";"42"
"Source";"readNBytes";"446";"44"
"Source";"readNBytes";"446";"46"
"Source";"readNBytes";"446";"64"
"Source";"readNBytes";"446";"42"
"Source";"readNBytes";"446";"44"
"Source";"readNBytes";"446";"48"
"Source";"readNBytes";"446";"45"
"Source";"readNBytes";"446";"45"
"Source";"readNBytes";"446";"48"
"Source";"readNBytes";"446";"46"
"Source";"readNBytes";"446";"50"
"Source";"readNBytes";"446";"39"
"Source";"readNBytes";"446";"45"
"Source";"readNBytes";"446";"36"
"Source";"readNBytes";"446";"43"
"Source";"readNBytes";"446";"45"
"Source";"readNBytes";"446";"44"
"Source";"readNBytes";"446";"44"
"Source";"readNBytes";"446";"53"
"Source";"readNBytes";"446";"49"
"Source";"readNBytes";"446";"46"
"Source";"readNBytes";"446";"48"
"Source";"readNBytes";"446";"46"
"Source";"readNBytes";"446";"50"
"Source";"readNBytes";"446";"50"
"Source";"readNBytes";"446";"44"
"Source";"readNBytes";"446";"54"
"Source";"readNBytes";"446";"47"
"Source";"readNBytes";"446";"44"
"Source";"readNBytes";"446";"43"
"Source";"readNBytes";"446";"42"
"Source";"readNBytes";"446";"44"
"Source";"readNBytes";"446";"44"
"Source";"readNBytes";"446";"52"
"Source";"readNBytes";"446";"72"
"Source";"readNBytes";"446";"42"
"Source";"readNBytes";"446";"44"
"Source";"readNBytes";"446";"44"
"Source";"readNBytes";"446";"49"
"Source";"readNBytes";"446";"46"
"Source";"readNBytes";"446";"49"
"Source";"readNBytes";"446";"50"
"Source";"readNBytes";"446";"51"
"Source";"readNBytes";"446";"45"
"Source";"readNBytes";"446";"41"
"Source";"readNBytes";"446";"51"
"Source";"readNBytes";"446";"41"
"Source";"readNBytes";"446";"47"
"Source";"readNBytes";"446";"46"
"Source";"readNBytes";"446";"46"
"Source";"readNBytes";"446";"44"
"Source";"readNBytes";"446";"44"
"Source";"readNBytes";"446";"46"
